ID,PIN,Signal,Signal.1,Probe,INICIAL,TYPE,PORCENT,Barrel,SURFACE,TEST
C519:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,100.0,100, TOP,Pass
C520:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C520:,    Pin:1, Signal:NetC520_1, Orig_Signal:NetC520_1, Probed,C,CAP,100.0,100, BOTTOM,Pass
C521:,    Pin:2, Signal:L1_CS, Orig_Signal:L1_CS, Probed,C,CAP,,100, BOTTOM,Fail
C521:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C601:,    Pin:2, Signal:NetC601_2, Orig_Signal:NetC601_2, Probed,C,CAP,,100, BOTTOM,Fail
C601:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C602:,    Pin:2, Signal:NetC602_2, Orig_Signal:NetC602_2, Probed,C,CAP,,100, BOTTOM,Fail
C602:,    Pin:1, Signal:NetC602_1, Orig_Signal:NetC602_1, Probed,C,CAP,100.0,100, BOTTOM,Pass
C603:,    Pin:1, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed,C,CAP,,100, BOTTOM,Fail
C603:,    Pin:2, Signal:NetC603_2, Orig_Signal:NetC603_2, NotProbed,C,CAP,50.0,0,0,Fail
C604:,    Pin:1, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed,C,CAP,,100, BOTTOM,Fail
C604:,    Pin:2, Signal:NetC603_2, Orig_Signal:NetC603_2, NotProbed,C,CAP,50.0,0,0,Fail
C605:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C605:,    Pin:2, Signal:P12V, Orig_Signal:+12V, Probed,C,CAP,100.0,100, BOTTOM,Pass
C606:,    Pin:1, Signal:P12V, Orig_Signal:+12V, Probed,C,CAP,,100, BOTTOM,Fail
C606:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C607:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C607:,    Pin:1, Signal:P12V, Orig_Signal:+12V, Probed,C,CAP,100.0,100, BOTTOM,Pass
C608:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C608:,    Pin:1, Signal:NetC608_1, Orig_Signal:NetC608_1, Probed,C,CAP,100.0,100, BOTTOM,Pass
C609:,    Pin:1, Signal:12V_A, Orig_Signal:12V_A, NotProbed,C,CAP,,0,0,Fail
C609:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C610:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C610:,    Pin:1, Signal:12V_A, Orig_Signal:12V_A, NotProbed,C,CAP,50.0,0,0,Fail
C611:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C611:,    Pin:1, Signal:12V_A, Orig_Signal:12V_A, NotProbed,C,CAP,50.0,0,0,Fail
C612:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C612:,    Pin:1, Signal:12V_A, Orig_Signal:12V_A, NotProbed,C,CAP,50.0,0,0,Fail
C613:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C613:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed,C,CAP,100.0,100, BOTTOM,Pass
C614:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C614:,    Pin:1, Signal:12V_A, Orig_Signal:12V_A, NotProbed,C,CAP,50.0,0,0,Fail
C615:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C615:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,100.0,100, TOP,Pass
C616:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,,100, TOP,Fail
C616:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C617:,    Pin:2, Signal:1_8V, Orig_Signal:1.8V, Probed,C,CAP,,100, TOP,Fail
C617:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C618:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,,100, TOP,Fail
C618:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
